Quarter,Ticker,Total Revenue,Net Income,Research And Development,Revenue Growth YoY,Net Margin,R&D Intensity,Slope,Revenue Rank,Revenue Negative,YearQ
2024-09-30,LSCC,127091000.0,7190000.0,41398000.0,,5.66,32.57,3015000.0,1.0,False,2024Q3
2024-12-31,LSCC,117419000.0,16514000.0,38580000.0,,14.06,32.86,-9672000.0,1.0,False,2024Q4
2025-03-31,LSCC,120150000.0,5022000.0,41387000.0,-14.68,4.18,34.45,2731000.0,1.0,True,2025Q1
2024-03-31,ON,1862700000.0,453000000.0,150000000.0,,24.32,8.05,,1.0,False,2024Q1
2024-06-30,ON,1735200000.0,338200000.0,156500000.0,,19.49,9.02,-127500000.0,1.0,False,2024Q2
2024-09-30,ON,1761900000.0,401700000.0,151000000.0,,22.8,8.57,26700000.0,1.0,False,2024Q3
2024-12-31,ON,1722500000.0,379900000.0,155200000.0,,22.06,9.01,-39400000.0,1.0,False,2024Q4
2025-03-31,ON,1445700000.0,-486100000.0,164100000.0,-22.39,-33.62,11.35,-276800000.0,1.0,True,2025Q1
2024-03-31,MPWR,457885000.0,92541000.0,75990000.0,,20.21,16.6,,1.0,False,2024Q1
2024-06-30,MPWR,507431000.0,100366000.0,77945000.0,,19.78,15.36,49546000.0,1.0,False,2024Q2
2024-09-30,MPWR,620119000.0,144430000.0,85051000.0,,23.29,13.72,112688000.0,1.0,False,2024Q3
2024-12-31,MPWR,621665000.0,1449363000.0,85762000.0,,233.14,13.8,1546000.0,1.0,False,2024Q4
2025-03-31,MPWR,637554000.0,133791000.0,92227000.0,39.24,20.99,14.47,15889000.0,1.0,False,2025Q1
2024-06-30,RMBS,132138000.0,36056000.0,40525000.0,,27.29,30.67,,1.0,False,2024Q2
2024-09-30,RMBS,145513000.0,48665000.0,41299000.0,,33.44,28.38,13375000.0,1.0,False,2024Q3
2024-12-31,RMBS,161102000.0,62202000.0,43698000.0,,38.61,27.12,15589000.0,1.0,False,2024Q4
2025-03-31,RMBS,166664000.0,60303000.0,42620000.0,,36.18,25.57,5562000.0,1.0,False,2025Q1
2025-06-30,RMBS,172209000.0,57935000.0,46331000.0,30.33,33.64,26.9,5545000.0,1.0,False,2025Q2
2024-06-30,NET,400996000.0,-15078000.0,102547000.0,,-3.76,25.57,,1.0,False,2024Q2
2024-09-30,NET,430082000.0,-15331000.0,110911000.0,,-3.56,25.79,29086000.0,1.0,False,2024Q3
2024-12-31,NET,459946000.0,-12848000.0,120213000.0,,-2.79,26.14,29864000.0,1.0,False,2024Q4
2025-03-31,NET,479087000.0,-38454000.0,115089000.0,,-8.03,24.02,19141000.0,1.0,False,2025Q1
2025-06-30,NET,512316000.0,-50446000.0,134557000.0,27.76,-9.85,26.26,33229000.0,1.0,False,2025Q2
2024-03-31,FSLY,133520000.0,-43427000.0,38248000.0,,-32.52,28.65,,1.0,False,2024Q1
2024-06-30,FSLY,132371000.0,-43729000.0,35106000.0,,-33.04,26.52,-1149000.0,1.0,False,2024Q2
2024-09-30,FSLY,137206000.0,-38016000.0,31884000.0,,-27.71,23.24,4835000.0,1.0,False,2024Q3
2024-12-31,FSLY,140579000.0,-32886000.0,32742000.0,,-23.39,23.29,3373000.0,1.0,False,2024Q4
2025-03-31,FSLY,144474000.0,-39148000.0,37429000.0,8.2,-27.1,25.91,3895000.0,1.0,False,2025Q1
2024-04-30,ESTC,334999000.0,-41100000.0,93951000.0,,-12.27,28.05,,1.0,False,2024Q2
2024-07-31,ESTC,347420000.0,-49227000.0,89332000.0,,-14.17,25.71,12421000.0,1.0,False,2024Q3
2024-10-31,ESTC,365361000.0,-25450000.0,88163000.0,,-6.97,24.13,17941000.0,1.0,False,2024Q4
2025-01-31,ESTC,382083000.0,-17056000.0,93598000.0,,-4.46,24.5,16722000.0,1.0,False,2025Q1
2025-04-30,ESTC,388432000.0,-16381000.0,94665000.0,15.95,-4.22,24.37,6349000.0,1.0,False,2025Q2
2024-03-31,TWLO,1047050000.0,-55349000.0,251615000.0,,-5.29,24.03,,1.0,False,2024Q1
2024-06-30,TWLO,1082502000.0,-31858000.0,243652000.0,,-2.94,22.51,35452000.0,1.0,False,2024Q2
2024-09-30,TWLO,1133649000.0,-9726000.0,260903000.0,,-0.86,23.01,51147000.0,1.0,False,2024Q3
2024-12-31,TWLO,1194835000.0,-12470000.0,252577000.0,,-1.04,21.14,61186000.0,1.0,False,2024Q4
2025-03-31,TWLO,1172463000.0,20017000.0,254295000.0,11.98,1.71,21.69,-22372000.0,1.0,False,2025Q1
2024-04-30,AI,86590000.0,-72927000.0,50618000.0,,-84.22,58.46,,1.0,False,2024Q2
2024-07-31,AI,87213000.0,-62827000.0,52927000.0,,-72.04,60.69,623000.0,1.0,False,2024Q3
2024-10-31,AI,94338000.0,-65972000.0,55715000.0,,-69.93,59.06,7125000.0,1.0,False,2024Q4
2025-01-31,AI,98782000.0,-80201000.0,59356000.0,,-81.19,60.09,4444000.0,1.0,False,2025Q1
2025-04-30,AI,108723000.0,-79702000.0,58393000.0,25.56,-73.31,53.71,9941000.0,1.0,False,2025Q2
